rank,lemma,pos,freq_sum,all_rki_abs,r,dp,all_rki_ipm,native_ipm,bilingual_ipm,rnc_ipm,detcorpus_ipm
4412,суметь,VERB,80,2,23,0.95,9.48,81.5,7.21,83.9,91
5448,вечный,ADJECTIVE,30,1,23,0.79,4.74,25.33,10.81,83.8,39
1098,морской,ADJECTIVE,222,22,54,0.64,104.27,128.85,136.94,83.5,100
1475,лишний,ADJECTIVE,216,14,31,0.65,66.35,148.68,120.72,83.5,83
898,спокойный,ADJECTIVE,105,30,77,0.55,142.18,27.53,61.26,83.4,105
2208,нижний,ADJECTIVE,46,7,46,0.68,33.18,26.43,18.02,83.4,59
2158,поговорить,VERB,171,7,46,0.65,33.18,34.14,176.58,83.3,150
412,дождь,NOUN,780,75,92,0.68,355.45,513.22,389.19,83.2,145
2030,лестница,NOUN,158,8,54,0.66,37.91,74.89,118.92,83.1,180
3313,сухой,ADJECTIVE,149,3,31,0.69,14.22,110.13,79.28,83,106
398,лететь,VERB,620,79,77,0.66,374.41,374.45,331.53,82.9,159
1278,ах,INTERJECTION,149,17,54,0.66,80.57,59.47,111.71,82.9,143
166,синий,ADJECTIVE,857,201,100,0.56,952.61,435.02,450.45,82.8,180
699,дача,NOUN,218,42,69,0.59,199.05,50.66,219.82,82.8,95
6600,появление,NOUN,19,0,23,0.7,0,11.01,10.81,82.5,39
5238,сегодняшний,ADJECTIVE,11,1,31,0.72,4.74,5.51,5.41,82.3,39
903,строить,VERB,406,30,54,0.68,142.18,236.78,210.81,82.2,70
1104,труба,NOUN,117,22,62,0.69,104.27,79.3,41.44,82.1,133
1744,медицинский,ADJECTIVE,45,11,31,0.8,52.13,2.2,14.41,82,19
347,осень,NOUN,804,94,92,0.61,445.5,471.37,472.07,81.8,62
2195,многие,SPRO,78,7,38,0.72,33.18,40.75,32.43,81.8,61
7241,вряд,ADVERB,5,0,15,0.69,0,2.2,5.41,81.7,61
1051,оставлять,VERB,293,23,46,0.66,109,193.83,147.75,81.4,342
1663,полагать,VERB,297,11,46,0.66,52.13,115.64,290.09,81.4,282
435,висеть,VERB,367,71,54,0.61,336.49,131.06,284.68,81.3,158
883,свежий,ADJECTIVE,227,31,54,0.72,146.92,142.07,95.5,81.3,96
908,костюм,NOUN,173,30,54,0.61,142.18,57.27,142.34,81.3,98
2021,трудный,ADJECTIVE,303,8,46,0.76,37.91,199.34,124.32,81.3,72
1623,баба,NOUN,58,12,46,0.64,56.87,26.43,39.64,81.2,86
3871,ценность,NOUN,25,2,31,0.62,9.48,4.41,27.03,81.2,22
71,чей,APRO,810,371,92,0.55,1758.29,194.93,452.25,81.1,57
3359,пьеса,NOUN,49,3,38,0.71,14.22,25.33,21.62,81.1,15
6858,обязанность,NOUN,12,0,15,0.69,0,3.3,16.22,81.1,25
955,лошадь,NOUN,275,27,69,0.65,127.96,150.88,156.76,80.9,166
3184,воспоминание,NOUN,42,4,31,0.92,18.96,36.34,5.41,80.9,42
1641,сыграть,VERB,40,12,38,0.85,56.87,13.22,7.21,80.8,32
2365,кто-нибудь,SPRO,89,6,38,0.67,28.44,34.14,79.28,80.8,156
4016,коллега,NOUN,40,2,31,0.73,9.48,3.3,16.22,80.6,19
